100.0,117.0,118.0,130.0
118.0,130.0,126.0,125.0
126.0,125.0,140.0,125.0
140.0,125.0,135.0,113.0
135.0,113.0,140.0,100.0
160.0,100.0,165.0,113.0
165.0,113.0,160.0,125.0
160.0,125.0,176.0,125.0
176.0,125.0,200.0,175.0
100.0,126.0,120.0,154.0
120.0,154.0,126.0,135.0
126.0,135.0,138.0,150.0
138.0,150.0,128.0,200.0
140.0,200.0,150.0,180.0
150.0,180.0,160.0,200.0
175.0,200.0,165.0,150.0
165.0,150.0,200.0,190.0
142.0,120.0,150.0,123.0
150.0,123.0,158.0,120.0
150.0,58.5,159.0,65.0
159.0,65.0,163.0,62.5
163.0,62.5,170.0,62.5
170.0,62.5,167.5,56.5
167.5,56.5,170.0,50.0
180.0,50.0,182.5,56.5
182.5,56.5,180.0,62.5
180.0,62.5,188.0,62.5
188.0,62.5,200.0,87.5
150.0,63.0,160.0,77.0
160.0,77.0,163.0,67.5
163.0,67.5,169.0,75.0
169.0,75.0,164.0,100.0
170.0,100.0,175.0,90.0
175.0,90.0,180.0,100.0
187.5,100.0,182.5,75.0
182.5,75.0,200.0,95.0
171.0,60.0,175.0,61.5
175.0,61.5,179.0,60.0
175.0,29.25,179.5,32.5
179.5,32.5,181.5,31.25
181.5,31.25,185.0,31.25
185.0,31.25,183.75,28.25
183.75,28.25,185.0,25.0
190.0,25.0,191.25,28.25
191.25,28.25,190.0,31.25
190.0,31.25,194.0,31.25
194.0,31.25,200.0,43.75
175.0,31.5,180.0,38.5
180.0,38.5,181.5,33.75
181.5,33.75,184.5,37.5
184.5,37.5,182.0,50.0
185.0,50.0,187.5,45.0
187.5,45.0,190.0,50.0
193.75,50.0,191.25,37.5
191.25,37.5,200.0,47.5
185.5,30.0,187.5,30.75
187.5,30.75,189.5,30.0
187.5,14.625,189.75,16.25
189.75,16.25,190.75,15.625
190.75,15.625,192.5,15.625
192.5,15.625,191.875,14.125
191.875,14.125,192.5,12.5
195.0,12.5,195.625,14.125
195.625,14.125,195.0,15.625
195.0,15.625,197.0,15.625
197.0,15.625,200.0,21.875
187.5,15.75,190.0,19.25
190.0,19.25,190.75,16.875
190.75,16.875,192.25,18.75
192.25,18.75,191.0,25.0
192.5,25.0,193.75,22.5
193.75,22.5,195.0,25.0
196.875,25.0,195.625,18.75
195.625,18.75,200.0,23.75
192.75,15.0,193.75,15.375
193.75,15.375,194.75,15.0
193.75,2.125,194.875,3.75
194.875,3.75,195.375,3.125
195.375,3.125,196.25,3.125
196.25,3.125,195.9375,1.625
195.9375,1.625,196.25,0.0
197.5,0.0,197.8125,1.625
197.8125,1.625,197.5,3.125
197.5,3.125,198.5,3.125
198.5,3.125,200.0,9.375
193.75,3.25,195.0,6.75
195.0,6.75,195.375,4.375
195.375,4.375,196.125,6.25
196.125,6.25,195.5,12.5
196.25,12.5,196.875,10.0
196.875,10.0,197.5,12.5
198.4375,12.5,197.8125,6.25
197.8125,6.25,200.0,11.25
196.375,2.5,196.875,2.875
196.875,2.875,197.375,2.5
187.5,2.125,188.625,3.75
188.625,3.75,189.125,3.125
189.125,3.125,190.0,3.125
190.0,3.125,189.6875,1.625
189.6875,1.625,190.0,0.0
191.25,0.0,191.5625,1.625
191.5625,1.625,191.25,3.125
191.25,3.125,192.25,3.125
192.25,3.125,193.75,9.375
187.5,3.25,188.75,6.75
188.75,6.75,189.125,4.375
189.125,4.375,189.875,6.25
189.875,6.25,189.25,12.5
190.0,12.5,190.625,10.0
190.625,10.0,191.25,12.5
192.1875,12.5,191.5625,6.25
191.5625,6.25,193.75,11.25
190.125,2.5,190.625,2.875
190.625,2.875,191.125,2.5
175.0,14.625,177.25,16.25
177.25,16.25,178.25,15.625
178.25,15.625,180.0,15.625
180.0,15.625,179.375,14.125
179.375,14.125,180.0,12.5
182.5,12.5,183.125,14.125
183.125,14.125,182.5,15.625
182.5,15.625,184.5,15.625
184.5,15.625,187.5,21.875
175.0,15.75,177.5,19.25
177.5,19.25,178.25,16.875
178.25,16.875,179.75,18.75
179.75,18.75,178.5,25.0
180.0,25.0,181.25,22.5
181.25,22.5,182.5,25.0
184.375,25.0,183.125,18.75
183.125,18.75,187.5,23.75
180.25,15.0,181.25,15.375
181.25,15.375,182.25,15.0
181.25,2.125,182.375,3.75
182.375,3.75,182.875,3.125
182.875,3.125,183.75,3.125
183.75,3.125,183.4375,1.625
183.4375,1.625,183.75,0.0
185.0,0.0,185.3125,1.625
185.3125,1.625,185.0,3.125
185.0,3.125,186.0,3.125
186.0,3.125,187.5,9.375
181.25,3.25,182.5,6.75
182.5,6.75,182.875,4.375
182.875,4.375,183.625,6.25
183.625,6.25,183.0,12.5
183.75,12.5,184.375,10.0
184.375,10.0,185.0,12.5
185.9375,12.5,185.3125,6.25
185.3125,6.25,187.5,11.25
183.875,2.5,184.375,2.875
184.375,2.875,184.875,2.5
175.0,2.125,176.125,3.75
176.125,3.75,176.625,3.125
176.625,3.125,177.5,3.125
177.5,3.125,177.1875,1.625
177.1875,1.625,177.5,0.0
178.75,0.0,179.0625,1.625
179.0625,1.625,178.75,3.125
178.75,3.125,179.75,3.125
